filename string
AOA numeric
BROWN-FREQ numeric
CONC numeric
FAM numeric
IMAG numeric
K-F-FREQ numeric
K-F-NCATS numeric
K-F-NSAMP numeric
MEANC numeric
MEANP numeric
NLET numeric
NPHON numeric
NSYL numeric
T-L-FREQ numeric
WC numeric
WPS numeric
Qmarks numeric
Unique numeric
Dic numeric
Sixltr numeric
Abbreviations numeric
Emoticons numeric
Pronoun numeric
I numeric
We numeric
Self numeric
You numeric
Other numeric
Negate numeric
Assent numeric
Article numeric
Preps numeric
Number numeric
Affect numeric
Posemo numeric
Posfeel numeric
Optim numeric
Negemo numeric
Anx numeric
Anger numeric
Sad numeric
Cogmech numeric
Cause numeric
Insight numeric
Discrep numeric
Inhib numeric
Tentat numeric
Certain numeric
Senses numeric
See numeric
Hear numeric
Feel numeric
Social numeric
Comm numeric
Othref numeric
Humans numeric
Time numeric
Past numeric
Present numeric
Future numeric
Space numeric
Up numeric
Down numeric
Incl numeric
Excl numeric
Motion numeric
Achieve numeric
Relig numeric
Sexual numeric
Swear numeric
Nonfl numeric
Fillers numeric
Period numeric
Comma numeric
Colon numeric
SemiC numeric
QMark numeric
Exclam numeric
Dash numeric
Quote numeric
Apostro numeric
Parenth numeric
OtherP numeric
AllPct numeric
Extraversion numeric
'Emotional stability' numeric
Agreeableness numeric
Conscientiousness numeric
'Openness to experience' numeric
