Word	Valence	Arousal	Dominance
aaaaaaah	0.479	0.606	0.291
aaaah	0.520	0.636	0.282
aardvark	0.427	0.490	0.437
aback	0.385	0.407	0.288
abacus	0.510	0.276	0.485
abalone	0.500	0.480	0.412
abandon	0.052	0.519	0.245
abandoned	0.046	0.481	0.130
abandonment	0.128	0.430	0.202
abashed	0.177	0.644	0.307
abate	0.255	0.696	0.604
abatement	0.388	0.338	0.336
abba	0.562	0.500	0.480
abbey	0.580	0.367	0.444
abbot	0.427	0.321	0.483
abbreviate	0.531	0.375	0.330
abbreviation	0.469	0.306	0.345
abdomen	0.469	0.462	0.471
abdominal	0.490	0.456	0.445
abduct	0.173	0.720	0.615
abduction	0.062	0.990	0.673
aberrant	0.146	0.765	0.431
aberration	0.125	0.816	0.417
abeyance	0.330	0.510	0.292
abhor	0.125	0.602	0.349
abhorrence	0.167	0.684	0.420
abhorrent	0.229	0.750	0.474
abide	0.635	0.354	0.705
abiding	0.796	0.327	0.750
ability	0.875	0.510	0.816
abject	0.354	0.590	0.417
ablation	0.418	0.500	0.500
ablaze	0.240	0.847	0.525
able	0.786	0.500	0.810
abnormal	0.137	0.604	0.309
abnormality	0.092	0.655	0.383
aboard	0.698	0.284	0.481
abode	0.620	0.302	0.500
abolish	0.448	0.615	0.529
abolition	0.323	0.690	0.529
abominable	0.120	0.731	0.482
abominate	0.198	0.788	0.366
abomination	0.078	0.755	0.518
aboriginal	0.448	0.427	0.542
abort	0.153	0.686	0.429
abortion	0.082	0.770	0.283
abortive	0.090	0.776	0.280
abound	0.704	0.490	0.681
abovementioned	0.541	0.298	0.509
abracadabra	0.673	0.632	0.434
abrasion	0.406	0.592	0.441
abrasive	0.392	0.610	0.593
abreast	0.635	0.380	0.519
abroad	0.677	0.596	0.561
abrogate	0.327	0.510	0.594
abrupt	0.271	0.819	0.545
abruptly	0.250	0.808	0.556
abscess	0.154	0.451	0.349
absence	0.153	0.235	0.266
absent	0.177	0.221	0.116
absentee	0.235	0.330	0.279
absenteeism	0.404	0.273	0.357
absinthe	0.481	0.510	0.462
absolute	0.526	0.510	0.827
absolution	0.715	0.500	0.664
absolve	0.684	0.449	0.660
absorb	0.469	0.558	0.670
absorbed	0.490	0.471	0.519
absorbent	0.552	0.394	0.718
absorbing	0.490	0.490	0.578
absorption	0.609	0.422	0.446
abstain	0.385	0.385	0.427
abstention	0.271	0.264	0.509
abstinence	0.260	0.392	0.429
abstract	0.438	0.292	0.444
abstraction	0.469	0.439	0.525
absurd	0.188	0.656	0.284
absurdity	0.115	0.528	0.227
abundance	0.812	0.690	0.852
abundant	0.958	0.590	0.760
abuse	0.071	0.873	0.469
abused	0.021	0.874	0.235
abusive	0.125	0.903	0.567
abutment	0.500	0.265	0.616
aby	0.385	0.452	0.368
abysmal	0.250	0.710	0.598
abyss	0.353	0.725	0.296
academic	0.781	0.420	0.812
academy	0.704	0.473	0.792
accede	0.698	0.510	0.537
accelerant	0.643	0.844	0.802
accelerate	0.615	0.902	0.759
accelerated	0.610	0.812	0.682
acceleration	0.704	0.905	0.843
accelerator	0.593	0.830	0.812
accent	0.598	0.357	0.509
accentuate	0.673	0.556	0.667
accept	0.847	0.286	0.565
acceptable	0.812	0.286	0.583
acceptance	0.833	0.287	0.755
acceptances	0.847	0.413	0.648
access	0.714	0.472	0.567
accessible	0.796	0.410	0.645
accession	0.612	0.383	0.636
accessory	0.562	0.292	0.445
accident	0.125	0.908	0.336
accidental	0.319	0.784	0.307
accidentally	0.333	0.741	0.333
acclaim	0.562	0.809	0.718
accolade	0.688	0.591	0.775
accommodate	0.844	0.375	0.566
accommodation	0.817	0.415	0.587
accompaniment	0.740	0.479	0.695
accompany	0.833	0.406	0.585
accompanying	0.787	0.460	0.582
accomplice	0.408	0.580	0.510
